fecha,danos,problema_principal,descripcion,monto
2022-12-28,Poste,Derribado,Derribado,29207.23
2023-01-10,Poste,Derribado,Derribado,19597.2
2023-01-09,Poste de Alumbrado Público,Derribado,Derribado,21598.32
2022-12-21,Poste,Derribado,Derribado,67895.4
2023-01-17,Bolardo,Derribado,Derribado,4333.7
2022-12-20,Árbol,Derribado,Derribado,4811
2022-12-20,3 Rieles,Derribado,Derribados,2048.69
2022-12-20,Bolardo,Derribado,Derribado,4619.13
2023-01-12,Guarnición,Demolido,Demolición,5818.78
2023-01-27,Caseta de Periódico,Derribado,Derribada,19355.7
2023-01-10,Bolardo,Derribado,Derribado,8949.630000000001
2023-01-10,Señalética,Derribado,Derribado,5455.06
2022-12-20,Semáforo,Derribado,Derribado,18499.71
2022-12-22,Poste,Derribado,Derribado,15409.89
2023-01-23,Semáforo,Derribado,´Derribado,36910.4
2023-01-13,Bolardo,Derribado,Derribado,7697.6900000000005
2023-01-25,Árbol,Derribado,Derribado,5187
2022-12-20,Semáforo,Derribado,Derribado,56655.71
2023-01-25,Banderola,Derribado,Derribada,2727.53
2023-01-25,3 Bolardos,Derribado,Derribados,8576.9
2023-01-03,Árbol,Derribado,Derribado,4800.110000000001
2023-01-26,Contenedor de Basura,Derribado,Derribado,10420.28
2023-01-26,Poste,Derribado,Derribado,20808.8
2023-01-11,Poste de Alumbrado Público,Derribado,Derribado,8714.8
2022-01-11,Árbol,Derribado,Derribado,9622
2023-01-25,Banderola,Derribado,Derribada,1544.27
2023-01-24,Banqueta,Demolido,Demolición,698.4499999999999
2023-01-31,Semáforo,Derribado,Derribado,29574.149999999998
2023-01-25,Poste,Derribado,Derribado,13969.08
2023-01-31,Señalética,Derribado,Derribado,1544.27
2023-01-25,Estatúa,Derribado,Derribada,15000
